iter	Logloss
0	0.6878203125
1	0.6828865932
2	0.6782959821
3	0.673856543
4	0.669675293
5	0.6657986468
6	0.6621629185
7	0.6586671735
8	0.6553895229
9	0.6523874023
10	0.6495145647
11	0.6468905971
12	0.6443911133
13	0.642109933
14	0.6399224749
15	0.6379259347
16	0.6360071987
17	0.6341779436
18	0.6324538225
19	0.630862779
20	0.6293636021
21	0.6279346401
22	0.6265630859
23	0.6252819057
24	0.6241418248
25	0.6230242885
26	0.6220019113
27	0.6210093192
28	0.6200924107
29	0.6191676618
30	0.6183542132
31	0.6175822545
32	0.6167974609
33	0.6160779297
34	0.6153791574
35	0.6147419364
36	0.6141182338
37	0.6135475446
38	0.6129958566
39	0.6124489816
40	0.6119479911
41	0.6115014509
42	0.6110625
43	0.6106584263
44	0.6102716239
45	0.609870159
46	0.609556808
47	0.6091975446
48	0.6088607561
49	0.6085351423
50	0.6082701172
51	0.6079863002
52	0.6077068778
53	0.6074379185
54	0.6071660993
55	0.6069051897
56	0.6066544085
57	0.6064437081
58	0.6062250837
59	0.6060013672
60	0.6057883929
61	0.6056074498
62	0.6054117187
63	0.6052331473
64	0.6050705497
65	0.604904269
66	0.6047487305
67	0.6045806083
68	0.6044197824
69	0.6042752651
70	0.6041496652
71	0.6039828962
72	0.6038613421
73	0.6037275809
74	0.6036190569
75	0.603498856
76	0.6033737863
77	0.603246303
78	0.6031505999
79	0.6030429129
80	0.6029317662
81	0.6027882394
82	0.6026811802
83	0.6025819196
84	0.6025004046
85	0.6024049386
86	0.6022599191
87	0.6021474749
88	0.602055971
89	0.6019626535
90	0.6018829241
91	0.6017804688
92	0.6016515625
93	0.601578111
94	0.6015033622
95	0.6014243722
96	0.6013567243
97	0.60127274
98	0.601227846
99	0.6011531808
100	0.6010892578
101	0.6010178013
102	0.6009601423
103	0.600895745
104	0.6008252651
105	0.6007628069
106	0.6006957171
107	0.6006342076
108	0.6005371373
109	0.6004198661
110	0.6003109235
111	0.6002600725
112	0.6001445173
113	0.6000704102
114	0.6000199637
115	0.5999706055
116	0.5999164621
117	0.5998732422
118	0.5998280971
119	0.599758817
120	0.599725572
121	0.5996746233
122	0.5996279715
123	0.5995694196
124	0.5995326172
125	0.5994416992
126	0.5993838309
127	0.5993271066
128	0.5992223772
129	0.5991783622
130	0.5990926897
131	0.5990412946
132	0.5989869838
133	0.5989428292
134	0.5989098075
135	0.5988057478
136	0.5987725446
137	0.5987323382
138	0.5986963588
139	0.5986587612
140	0.598617034
141	0.5985729632
142	0.5985436523
143	0.5985174805
144	0.5984853237
145	0.5983701451
146	0.598343736
147	0.5983160714
148	0.5982838728
149	0.5982577288
150	0.5981903599
151	0.5981416016
152	0.5981042271
153	0.5980794782
154	0.5980534598
155	0.5980172573
156	0.5979947266
157	0.5979702148
158	0.5979446847
159	0.5979047294
160	0.5978813477
161	0.597852553
162	0.5978004743
163	0.5977565569
164	0.5977270368
165	0.5976687779
166	0.5976307757
167	0.5976096401
168	0.5975857282
169	0.597553111
170	0.59752274
171	0.597498005
172	0.5974732143
173	0.5974463449
174	0.5973680804
175	0.5973439453
176	0.5973212193
177	0.5972952846
178	0.5972072545
179	0.5971567104
180	0.5971358398
181	0.5971021066
182	0.5970831334
183	0.5970500419
184	0.5970245954
185	0.5970011579
186	0.596980399
187	0.5969344587
188	0.5969143555
189	0.5968690848
190	0.5968508231
191	0.5968135463
192	0.59679774
193	0.5966925084
194	0.5966746512
195	0.5965999302
196	0.5965837193
197	0.5965645508
198	0.5965491908
199	0.5965326172
200	0.5965178432
201	0.5964184849
202	0.5964029994
203	0.5963714286
204	0.5963537109
205	0.5963345982
206	0.5962728934
207	0.5962509626
208	0.5962386719
209	0.5962176339
210	0.5962007254
211	0.5961699637
212	0.5961595843
213	0.5961455915
214	0.5961207729
215	0.5960797154
216	0.5960718052
217	0.5960461775
218	0.5959949777
219	0.5959788086
220	0.5959671038
221	0.5959480329
222	0.595920159
223	0.5958834542
224	0.595837779
225	0.5958284877
226	0.5958023158
227	0.5957882254
228	0.5957653739
229	0.5957452427
230	0.5957287528
231	0.5957189593
232	0.5957078823
233	0.5956975028
234	0.5956623047
235	0.5956510184
236	0.5956213449
237	0.5956101981
238	0.5955990234
239	0.5955858817
240	0.5955778878
241	0.5955173549
242	0.5955070173
243	0.595498577
244	0.5954871233
245	0.5954727679
246	0.5954567243
247	0.5954131417
248	0.5953992467
249	0.5953461356
250	0.5953126395
251	0.5953027065
252	0.5952704939
253	0.5952339007
254	0.5952216797
255	0.5951844308
256	0.5951718471
257	0.5951608259
258	0.595154534
259	0.5951057617
260	0.5950601004
261	0.5950382115
262	0.5950306501
263	0.594998284
264	0.5949564035
265	0.5949310407
266	0.5949206613
267	0.5948652483
268	0.5947689314
269	0.594758817
270	0.5947419922
271	0.5946965402
272	0.5946872907
273	0.5946467355
274	0.5946364118
275	0.5946297433
276	0.5946055804
277	0.5945878767
278	0.5945789342
279	0.594549428
280	0.5945229771
281	0.5945131417
282	0.5944554129
283	0.5944416992
284	0.5944242327
285	0.5944095285
286	0.5943550502
287	0.594347447
288	0.5943253209
289	0.5942978376
290	0.594289774
291	0.5942763393
292	0.594257659
293	0.5942507812
294	0.5942251535
295	0.5942172573
296	0.5941443778
297	0.5941049805
298	0.5940970843
299	0.5940610491
300	0.5940531948
301	0.5940450195
302	0.5940356027
303	0.5939584403
304	0.5939461496
305	0.5939242048
306	0.5939040458
307	0.5938917829
308	0.5938849749
309	0.5938747489
310	0.5938634208
311	0.593833817
312	0.593771024
313	0.5937620536
314	0.5937396345
315	0.5936700893
316	0.593657101
317	0.5936386021
318	0.5936320731
319	0.5936229074
320	0.5936159877
321	0.5936066406
322	0.5936002651
323	0.5935867746
324	0.5935672433
325	0.593484375
326	0.5934620815
327	0.5934545898
328	0.5934463588
329	0.5934391323
330	0.5934038365
331	0.5933967215
332	0.5933883789
333	0.593349986
334	0.5932732422
335	0.5932673828
336	0.5932320313
337	0.5931634626
338	0.5931429269
339	0.5931225307
340	0.5931148856
341	0.5931081194
342	0.5930758789
343	0.5930677734
344	0.5930365653
345	0.593026981
346	0.5929776507
347	0.5929233398
348	0.5929154157
349	0.5928947266
350	0.5928864258
351	0.5928796317
352	0.5928742885
353	0.5928556083
354	0.5928270647
355	0.5928213449
356	0.5927704939
357	0.5927138114
358	0.592655678
359	0.5926422852
360	0.5926341797
361	0.5925807478
362	0.5925464983
363	0.5925383789
364	0.5925106864
365	0.5924885603
366	0.592464495
367	0.5924473354
368	0.5924423968
369	0.5924357701
370	0.5924168108
371	0.592411635
372	0.5923675642
373	0.5923603934
374	0.5923533901
375	0.5923396624
376	0.59233238
377	0.5923259208
378	0.5922836496
379	0.5922769531
380	0.5922303013
381	0.5922227958
382	0.5922152065
383	0.5921790179
384	0.5921731445
385	0.5921141741
386	0.5920993862
387	0.5920830078
388	0.5920756417
389	0.5920614955
390	0.5920560826
391	0.5920376535
392	0.5920199916
393	0.5920138532
394	0.5919577427
395	0.5919433036
396	0.5919260742
397	0.59189149
398	0.5918587333
399	0.5918423131
400	0.591835226
401	0.5917970424
