iter	Passed	Remaining
0	67	133986
1	130	130601
2	190	126549
3	245	122438
4	306	122417
5	368	122533
6	430	122594
7	490	122210
8	551	121981
9	610	121440
10	672	121584
11	734	121678
12	792	121186
13	855	121427
14	918	121509
15	979	121500
16	1037	121023
17	1095	120679
18	1155	120489
19	1215	120315
20	1274	120113
21	1331	119745
22	1392	119676
23	1449	119361
24	1506	119049
25	1566	118956
26	1626	118883
27	1683	118564
28	1743	118495
29	1800	118228
30	1863	118351
31	1922	118229
32	1981	118107
33	2043	118174
34	2102	118057
35	2164	118062
36	2221	117865
37	2279	117679
38	2338	117569
39	2399	117569
40	2456	117374
41	2520	117484
42	2577	117299
43	2636	117207
44	2696	117141
45	2757	117154
46	2811	116840
47	2871	116759
48	2940	117063
49	2999	116967
50	3058	116868
51	3118	116818
52	3178	116760
53	3240	116788
54	3297	116600
55	3357	116555
56	3413	116362
57	3473	116301
58	3527	116037
59	3590	116092
60	3650	116043
61	3710	115970
62	3770	115921
63	3830	115883
64	3893	115898
65	3951	115792
66	4008	115646
67	4070	115642
68	4127	115505
69	4187	115465
70	4251	115506
71	4317	115624
72	4389	115869
73	4455	115970
74	4515	115904
75	4576	115855
76	4639	115876
77	4702	115862
78	4763	115839
79	4823	115754
80	4884	115730
81	4950	115794
82	5008	115673
83	5068	115605
84	5128	115552
85	5185	115415
86	5251	115468
87	5315	115491
88	5372	115361
89	5429	115232
90	5487	115110
91	5544	114981
92	5607	114991
93	5667	114920
94	5729	114892
95	5792	114894
96	5848	114738
97	5903	114582
98	5968	114601
99	6022	114427
100	6077	114264
101	6134	114152
102	6196	114118
103	6255	114042
104	6312	113931
105	6370	113831
106	6427	113718
107	6485	113610
108	6544	113542
109	6608	113546
110	6673	113566
111	6736	113562
112	6801	113583
113	6861	113516
114	6924	113495
115	6989	113522
116	7048	113432
117	7108	113381
118	7177	113448
119	7267	113857
120	7343	114036
121	7398	113893
122	7458	113812
123	7515	113698
124	7578	113671
125	7642	113670
126	7702	113592
127	7762	113526
128	7821	113442
129	7885	113433
130	7946	113379
131	8002	113245
132	8062	113171
133	8117	113044
134	8183	113047
135	8249	113062
136	8307	112972
137	8368	112910
138	8430	112870
139	8490	112806
140	8548	112711
141	8605	112599
142	8662	112492
143	8723	112434
144	8779	112313
145	8840	112261
146	8899	112180
147	8957	112093
148	9017	112023
149	9076	111947
150	9137	111894
151	9197	111821
152	9257	111749
153	9318	111702
154	9378	111634
155	9440	111588
156	9496	111480
157	9556	111412
158	9613	111311
159	9672	111231
160	9735	111203
161	9796	111146
162	9853	111053
163	9911	110955
164	9968	110859
165	10028	110792
166	10082	110668
167	10143	110613
168	10201	110524
169	10262	110476
170	10320	110382
171	10377	110293
172	10430	110157
173	10491	110103
174	10550	110029
175	10606	109921
176	10665	109850
177	10721	109743
178	10786	109732
179	10848	109685
180	10905	109599
181	10965	109539
182	11021	109431
183	11078	109337
184	11137	109269
185	11197	109207
186	11260	109176
187	11324	109146
